number,site,site_type,site_replicate,species_site_replicate,species,species_replicate,micro
1,T1,T,1,Ho1,Ho,1,0
2,T1,T,1,Ho2,Ho,2,0
3,T1,T,1,Ho3,Ho,3,0
4,t1,T,1,Ho1,Ho,1,1
5,t1,T,1,Ho2,Ho,2,1
6,t1,T,1,Ho3,Ho,3,1
7,T1,T,1,Fe1,Fe,1,0
8,T1,T,1,Fe2,Fe,2,0
9,T1,T,1,Fe3,Fe,3,0
10,t1,T,1,Fe1,Fe,1,1
11,t1,T,1,Fe2,Fe,2,1
12,t1,T,1,Fe3,Fe,3,1
13,T1,T,1,Ft1,Ft,1,0
14,T1,T,1,Ft2,Ft,2,0
15,T1,T,1,Ft1,Ft,1,0
16,t1,T,1,Ft1,Ft,1,1
17,t1,T,1,Ft2,Ft,2,1
18,t1,T,1,Ft3,Ft,3,1
19,T1,T,1,Ho3,Ho,3,0
20,T2,T,2,Ho2,Ho,2,0
21,T2,T,2,Ho3,Ho,3,0
22,t2,T,2,Ho1,Ho,1,1
23,t2,T,2,Ho2,Ho,2,1
24,t2,T,2,Ho3,Ho,3,1
25,T2,T,2,Fe1,Fe,1,0
26,T2,T,2,Fe2,Fe,2,0
27,T2,T,2,Fe3,Fe,3,0
28,T2,T,2,Fe1,Fe,1,0
29,T2,T,2,Fe2,Fe,2,0
30,T2,T,2,Fe3,Fe,3,0
31,T2,T,2,Ft1,Ft,1,0
32,T2,T,2,Ft2,Ft,2,0
33,T2,T,2,Ft3,Ft,3,0
34,t2,T,2,Ft1,Ft,1,1
35,t2,T,2,Ft2,Ft,2,1
36,t2,T,2,Ft3,Ft,3,1
37,T3,T,3,Ho1,Ho,1,0
38,T3,T,3,Ho2,Ho,2,0
39,T3,T,3,Ho3,Ho,3,0
40,t3,T,3,Ho1,Ho,1,1
41,t3,T,3,Ho2,Ho,2,1
42,t3,T,3,Ho3,Ho,3,1
43,T3,T,3,Fe1,Fe,1,0
44,T3,T,3,Fe2,Fe,2,0
45,T3,T,3,Fe3,Fe,3,0
46,t3,T,3,Fe1,Fe,1,1
47,t3,T,3,Fe2,Fe,2,1
48,t3,T,3,Fe3,Fe,3,1
49,T3,T,3,Ft1,Ft,1,0
50,T3,T,3,Ft2,Ft,2,0
51,T3,T,3,Ft3,Ft,3,0
52,t3,T,3,Ft1,Ft,1,1
53,t3,T,3,Ft2,Ft,2,1
54,t3,T,3,Ft3,Ft,3,1
55,F1,F,1,Fe1,Fe,1,0
56,F1,F,1,Fe2,Fe,2,0
57,F1,F,1,Fe3,Fe,3,0
58,F1,F,1,Ft1,Ft,1,0
59,F1,F,1,Ft2,Ft,2,0
60,F1,F,1,Ft3,Ft,3,0
61,F2,F,2,Fe1,Fe,1,0
62,F2,F,2,Fe2,Fe,2,0
63,F2,F,2,Fe3,Fe,3,0
64,F2,F,2,Ft1,Ft,1,0
65,F2,F,2,Ft2,Ft,2,0
66,F2,F,2,Ft3,Ft,3,0
67,F3,F,3,Fe1,Fe,1,0
68,F3,F,3,Fe2,Fe,2,0
69,F3,F,3,Fe3,Fe,3,0
70,F3,F,3,Ft1,Ft,1,0
71,F3,F,3,Ft2,Ft,2,0
72,F3,F,3,Ft3,Ft,3,0
73,P1,P,1,Fe1,Fe,1,0
74,P1,P,1,Fe2,Fe,2,0
75,P1,P,1,Fe3,Fe,3,0
76,P1,P,1,Ft1,Ft,1,0
77,P1,P,1,Ft2,Ft,2,0
78,P1,P,1,Ft3,Ft,3,0
79,P2,P,2,Fe1,Fe,1,0
80,P2,P,2,Fe2,Fe,2,0
81,P2,P,2,Fe3,Fe,3,0
82,P2,P,2,Ft1,Ft,1,0
83,P2,P,2,Ft2,Ft,2,0
84,P2,P,2,Ft3,Ft,3,0
85,P3,P,3,Fe1,Fe,1,0
86,P3,P,3,Fe2,Fe,2,0
87,P3,P,3,Fe3,Fe,3,0
88,P3,P,3,Ft1,Ft,1,0
89,P3,P,3,Ft2,Ft,2,0
90,P3,P,3,Ft3,Ft,3,0
